# Avida resource data
# Wed Sep 24 16:03:26 2014
# First column gives the current update, all further columns give the quantity
# of the particular resource at that update.
#  1: Update
#  2: resNOR0
#  3: resORN0
#  4: resNAND0
#  5: resAND0
#  6: resANDN0
#  7: resNOT1
#  8: resOR0
#  9: resXOR0
# 10: resANDN1
# 11: resOR1
# 12: resAND1
# 13: resXOR1
# 14: resORN1
# 15: resNOT0
# 16: resNOR1
# 17: resNAND1
# 18: resEQU1

26000 82283 97217.5 97276.3 82272 97210.3 112769 112806 97300 97211 112771 112884 97300 82223.3 97209.8 97248 82288.5 9949.92 
27000 82280.2 97219 97269.5 82269 97214 112775 112805 97300 97216 112778 112881 97300 82230.5 97204.3 97259.2 82287.8 9949.92 
28000 82282.2 97224.8 97270.3 82269 97209.5 112783 112799 97300 97209 112773 112886 97300 82232.3 97208.8 97249.2 82288.5 9949.92 
29000 82281.2 97219.5 97271.3 82273.2 97216.5 112772 112796 97300 97217.5 112772 112886 97300 82235.3 97207.3 97252 82286.8 9949.92 
30000 82286.2 97226.8 97269 82272 97220.5 112777 112805 97300 97218.8 112780 112886 97300 82228 97217.8 97254.5 82289.8 9949.92 
31000 82284 97221 97272.8 82265.8 97220.5 112775 112796 97300 97216.5 112776 112879 97300 82235.8 97214.8 97246.8 82284.8 9949.92 
32000 82283 97222.8 97272.3 82265.8 97216 112777 112800 97300 97214.5 112777 112884 97300 82233.5 97215.8 97245 82284.8 9949.92 
33000 82278.5 97214.3 97268.5 82268.2 97210.5 112771 112800 97300 97206.8 112772 112883 97300 82230.5 97209.8 97250.8 82285 9949.92 
34000 82282.8 97227.5 97286.8 82268 97223 112780 112800 97300 97217 112774 112884 97300 82234 97215 97249 82288.2 9949.92 
35000 82281.2 97219.3 97274.8 82276.2 97212.3 112776 112802 97300 97216.3 112770 112886 97300 82237.3 97212.3 97242 82288.5 9949.92 
36000 82278.2 97224.8 97273.3 82273.8 97220.8 112790 112812 97300 97219 112778 112883 97300 82232.3 97213 97253.8 82290 9949.92 
37000 82278.2 97219 97258.3 82267.2 97217 112787 112800 97300 97215.3 112777 112882 97300 82241.3 97214.8 97251 82284.5 9949.92 
38000 82283 97212.8 97255.3 82266 97207 112787 112797 97300 97202.8 112766 112881 97300 82232.8 97212 97249.5 82283.2 9949.92 
39000 82280.5 97217.5 97247 82267 97217.5 112798 112798 97300 97213.8 112777 112879 97300 82231.5 97213.5 97250.5 82281.5 9949.92 
40000 82281.2 97224.5 97253.8 82271.2 97223.5 112794 112805 97300 97221.5 112777 112886 97300 82241.8 97225.3 97252.5 82287.2 9949.92 
41000 82281 97227 97257 82271.2 97209.3 112793 112803 97300 97205.5 112774 112885 97300 82230.5 97220 97255.5 82285.2 9949.92 
42000 82280.2 97224.3 97262 82264 97219.5 112796 112801 97300 97216 112775 112881 97300 82228.8 97211.3 97245.8 82285.8 9949.92 
43000 82276.2 97215.8 97257.3 82260.5 97224 112797 112789 97300 97221.5 112771 112879 97300 82242.5 97215.5 97241.5 82283 9949.92 
44000 82272 97215.5 97255.8 82262.8 97214.5 112786 112793 97300 97207 112767 112878 97300 82231 97212.5 97245.8 82284 9949.92 
45000 82274 97222 97260.5 82267.8 97220.8 112764 112800 97300 97210.3 112770 112877 97300 82230.5 97204.8 97253.8 82279 9949.92 
46000 82275.5 97225.3 97263.8 82272 97217.8 112776 112808 97300 97218.8 112779 112886 97300 82235.5 97207 97245.5 82282.5 9949.92 
47000 82279.5 97211.5 97259.5 82263 97216.5 112784 112799 97300 97210 112779 112879 97300 82238.5 97223.3 97257.5 82285.5 9949.92 
48000 82271.8 97218.8 97263.8 82269 97217.8 112770 112793 97300 97206 112771 112879 97300 82236.3 97218.8 97251.3 82286.5 9949.92 
49000 82284.8 97223 97256 82264.5 97212 112765 112789 97300 97213.5 112772 112873 97300 82237.3 97210.8 97247.3 82277.8 9949.92 
50000 82283.8 97218.8 97254.8 82264.5 97214.5 112769 112801 97300 97208.8 112777 112877 97300 82231.5 97217 97255.5 82286.8 9949.92 
51000 82281.8 97225.3 97253.3 82263.2 97222.5 112767 112802 97300 97213.8 112778 112878 97300 82224.8 97212 97252.5 82284.8 9949.92 
52000 82278 97225 97261.5 82268.8 97220.3 112769 112801 97300 97216.3 112782 112878 97300 82240 97217.8 97255.3 82289.2 9949.92 
53000 82277.5 97216.8 97257.5 82261.5 97217.8 112764 112795 97300 97211.8 112782 112879 97300 82237 97210.5 97255.2 82280.2 9949.92 
54000 82284.5 97219 97263.3 82260.8 97213.5 112782 112794 97300 97208.5 112780 112877 97300 82236.8 97210.5 97260.3 82289.2 9949.92 
55000 82274 97213 97249.5 82264 97212.5 112770 112801 97300 97205.3 112770 112875 97300 82234.8 97215 97254 82286.8 9949.92 
56000 82283.5 97223.8 97254 82256.3 97218.5 112771 112793 97300 97206.8 112772 112876 97300 82236.5 97210.5 97260.3 82284.2 9949.92 
57000 82272.5 97212 97255.3 82267.2 97213.8 112764 112798 97300 97207 112779 112880 97300 82231.3 97215.3 97251.3 82284.2 9949.92 
58000 82279.8 97216.8 97258.8 82263.3 97210.3 112760 112797 97300 97201.8 112764 112880 97300 82227.3 97206.8 97252.3 82281.2 9949.92 
59000 82280 97211.8 97256.8 82260.3 97205.3 112771 112795 97300 97199.8 112769 112879 97300 82228.5 97215.3 97257 82281.2 9949.92 
60000 82275.8 97217.3 97251.5 82263.5 97217.8 112766 112798 97300 97206.8 112773 112879 97300 82236 97216.8 97259 82287 9949.92 
61000 82274.8 97212.5 97247 82263.2 97224.8 112768 112793 97300 97214.3 112770 112879 97300 82240.8 97215.3 97250.5 82289.8 9949.92 
62000 82267.5 97216.5 97234.8 82259.8 97223 112765 112793 97300 97215.5 112771 112875 97300 82233.3 97211 97252.8 82285.8 9949.92 
63000 82278.8 97224.5 97243.5 82263.3 97219.8 112772 112800 97300 97207.3 112771 112875 97300 82227.8 97213.3 97259 82287.2 9949.92 
64000 82275.8 97215 97240 82260.2 97217.8 112764 112797 97300 97209.5 112767 112878 97300 82233 97210 97254.3 82284 9949.92 
65000 82279.2 97222.5 97241.8 82261.3 97221.5 112769 112791 97300 97214.5 112778 112872 97300 82235.5 97212.8 97255.5 82281 9949.92 
66000 82277.8 97213 97239 82263.8 97215 112756 112785 97300 97207 112765 112876 97300 82231.3 97203.5 97249.5 82287.5 9949.92 
67000 82269 97211.3 97237 82261.8 97217 112763 112792 97300 97208.5 112778 112876 97300 82239.5 97221.3 97254 82282.2 9949.92 
68000 82275 97219.3 97247.5 82270.2 97220 112766 112799 97300 97209.8 112775 112878 97300 82236 97210 97248.3 82287.8 9949.92 
69000 82272.8 97215.5 97236.8 82259.5 97225.5 112758 112793 97300 97209.5 112767 112875 97300 82233.8 97209.3 97251 82283.2 9949.92 
70000 82275.5 97217.3 97244.5 82265 97216.8 112777 112798 97300 97212.8 112765 112878 97300 82231.5 97220.5 97253.3 82284 9949.92 
